job_name,task_name,status,start_time,end_time,plan_cpu,plan_mem,plan_gpu,gpu_type
pai-pod-001095,tensorflow,Terminated,1100396.0,1100605.0,600.0,29.296875,100.0,MISC
pai-pod-001096,tensorflow,Terminated,1100396.0,1100626.0,600.0,29.296875,100.0,MISC
pai-pod-001097,tensorflow,Terminated,1100396.0,1100595.0,600.0,29.296875,100.0,MISC
pai-pod-001098,tensorflow,Terminated,1100396.0,1100649.0,600.0,29.296875,100.0,MISC
pai-pod-001099,tensorflow,Terminated,1100399.0,1100575.0,600.0,29.296875,100.0,MISC
pai-pod-001100,tensorflow,Terminated,1100399.0,1100618.0,600.0,29.296875,100.0,MISC
pai-pod-001101,tensorflow,Terminated,1100399.0,1100616.0,600.0,29.296875,100.0,MISC
pai-pod-001102,tensorflow,Terminated,1100399.0,1108736.0,600.0,29.296875,10.0,MISC
pai-pod-001103,tensorflow,Terminated,1100400.0,1100586.0,600.0,29.296875,100.0,MISC
pai-pod-001104,tensorflow,Terminated,1100400.0,1100564.0,600.0,29.296875,100.0,MISC
pai-pod-001105,tensorflow,Terminated,1100401.0,1100575.0,600.0,29.296875,100.0,MISC
pai-pod-001106,tensorflow,Terminated,1100401.0,1100564.0,600.0,29.296875,100.0,MISC
pai-pod-001107,tensorflow,Terminated,1100402.0,1100576.0,600.0,29.296875,100.0,MISC
pai-pod-001108,tensorflow,Terminated,1100402.0,1100605.0,600.0,29.296875,100.0,MISC
pai-pod-001109,tensorflow,Terminated,1100402.0,1100586.0,600.0,29.296875,100.0,MISC
pai-pod-001110,tensorflow,Terminated,1100403.0,1100586.0,600.0,29.296875,100.0,MISC
pai-pod-001111,tensorflow,Terminated,1100405.0,1100626.0,600.0,29.296875,100.0,MISC
pai-pod-001112,tensorflow,Terminated,1100405.0,1100595.0,600.0,29.296875,100.0,MISC
pai-pod-001113,tensorflow,Terminated,1100405.0,1100585.0,600.0,29.296875,100.0,MISC
pai-pod-001114,tensorflow,Terminated,1100405.0,1100605.0,600.0,29.296875,100.0,MISC
pai-pod-001115,tensorflow,Terminated,1100405.0,1100575.0,600.0,29.296875,100.0,MISC
pai-pod-001116,tensorflow,Terminated,1100405.0,1100596.0,600.0,29.296875,100.0,MISC
