workload,sc_policy,tune,seed,total_gpus,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130
openb_pod_list_default,01-Random,6,snapshot,6212,0.26,1.0,2.04,3.03,3.94,5.0,6.0,7.03,8.01,9.01,10.03,10.99,12.01,13.01,14.0,15.01,15.98,16.99,17.98,19.01,19.97,20.97,22.02,23.01,24.03,25.02,25.96,27.01,28.04,29.09,29.92,30.97,31.99,33.0,34.01,35.04,35.99,36.96,37.99,39.01,39.94,40.91,41.87,42.85,43.89,44.85,45.87,46.86,47.91,48.86,49.89,50.91,51.91,52.97,53.83,54.88,55.77,56.75,57.68,58.62,59.5,60.46,61.42,62.34,63.39,64.33,65.35,66.3,67.19,68.14,69.07,70.15,71.1,72.07,73.1,74.06,74.95,75.8,76.73,77.6,78.6,79.58,80.57,81.56,82.61,83.12,83.55,84.19,84.81,85.22,85.32,85.33,85.37,85.4,85.45,85.48,85.62,85.81,85.9,85.9,85.9,85.9,85.9,85.9,85.9,85.9,85.9,85.9,85.9,85.9,85.9,85.9,85.9,85.9,85.9,85.9,85.9,85.9,85.9,85.9,85.9,85.9,85.9,85.9,85.9,85.9,85.9,85.9,85.9,85.9,85.9
openb_pod_list_default,02-DotProd,9,snapshot,6212,0.26,1.0,2.04,3.03,3.94,5.0,6.0,7.03,8.01,9.01,10.03,10.99,12.01,13.01,14.0,15.01,15.98,16.99,17.98,19.01,19.97,20.97,22.02,23.01,24.03,25.02,25.96,27.01,28.04,29.09,29.92,30.97,31.99,33.0,34.01,35.04,35.99,36.96,37.99,39.01,39.99,41.04,42.0,42.98,44.02,44.97,46.0,46.99,48.03,48.99,50.02,51.04,52.04,53.1,53.96,55.0,55.92,57.01,57.95,59.01,59.94,60.98,61.97,62.99,64.03,64.98,66.0,67.07,67.97,69.04,69.97,71.05,72.0,72.97,74.0,74.96,75.93,77.02,78.02,79.0,80.02,81.0,81.99,82.98,84.03,85.06,85.99,86.9,87.11,87.12,87.12,87.12,87.14,87.15,87.16,87.18,87.19,87.2,87.21,87.21,87.21,87.21,87.21,87.21,87.21,87.21,87.21,87.21,87.21,87.21,87.21,87.21,87.21,87.21,87.21,87.21,87.21,87.21,87.21,87.21,87.21,87.21,87.21,87.21,87.21,87.21,87.21,87.21,87.21,87.21,87.21
openb_pod_list_default,03-GpuClustering,0,snapshot,6212,0.26,1.0,2.04,3.03,3.94,5.0,6.0,7.03,8.01,9.01,10.03,10.99,12.01,13.01,14.0,15.01,15.98,16.99,17.98,19.01,19.97,20.97,22.02,23.01,24.03,25.02,25.96,27.01,28.04,29.09,29.92,30.97,31.99,33.0,34.01,35.04,35.99,36.96,37.99,39.01,39.99,41.04,42.0,42.98,44.02,44.97,46.0,46.99,48.03,48.99,50.02,51.04,52.04,53.1,53.96,55.0,55.92,57.01,57.95,59.01,59.94,60.98,61.97,62.99,64.03,64.98,66.0,67.07,67.97,69.04,69.97,71.05,72.0,72.97,74.0,74.96,75.93,77.02,78.02,79.0,80.02,81.0,81.99,82.98,84.03,85.06,85.99,86.98,87.9,88.34,88.42,88.43,88.44,88.45,88.46,88.48,88.55,88.57,88.58,88.58,88.58,88.58,88.58,88.58,88.58,88.58,88.58,88.58,88.58,88.58,88.58,88.58,88.58,88.58,88.58,88.58,88.58,88.58,88.58,88.58,88.58,88.58,88.58,88.58,88.58,88.58,88.58,88.58,88.58,88.58,88.58
openb_pod_list_default,04-GpuPacking,9,snapshot,6212,0.26,1.0,2.04,3.03,3.94,5.0,6.0,7.03,8.01,9.01,10.03,10.99,12.01,13.01,14.0,15.01,15.98,16.99,17.98,19.01,19.97,20.97,22.02,23.01,24.03,25.02,25.96,27.01,28.04,29.09,29.92,30.97,31.99,33.0,34.01,35.04,35.99,36.96,37.99,39.01,39.99,41.04,42.0,42.98,44.02,44.97,46.0,46.99,48.03,48.99,50.02,51.04,52.04,53.1,53.96,55.0,55.92,57.01,57.95,59.01,59.94,60.98,61.97,62.99,64.03,64.98,66.0,67.07,67.97,69.04,69.97,71.05,72.0,72.97,74.0,74.96,75.93,77.02,78.02,79.0,80.02,81.0,81.99,82.98,84.03,85.06,85.99,86.98,88.0,88.9,89.06,89.07,89.08,89.09,89.1,89.13,89.18,89.2,89.21,89.21,89.21,89.21,89.21,89.21,89.21,89.21,89.21,89.21,89.21,89.21,89.21,89.21,89.21,89.21,89.21,89.21,89.21,89.21,89.21,89.21,89.21,89.21,89.21,89.21,89.21,89.21,89.21,89.21,89.21,89.21,89.21
openb_pod_list_default,05-BestFit,5,snapshot,6212,0.26,1.0,2.04,3.03,3.94,5.0,6.0,7.03,8.01,9.01,10.03,10.99,12.01,13.01,14.0,15.01,15.98,16.99,17.98,19.01,19.97,20.97,22.02,23.01,24.03,25.02,25.96,27.01,28.04,29.09,29.92,30.97,31.99,33.0,34.01,35.04,35.99,36.96,37.99,39.01,39.99,41.04,42.0,42.98,44.02,44.97,46.0,46.99,48.03,48.99,50.02,51.04,52.04,53.1,53.96,55.0,55.92,57.01,57.95,59.01,59.94,60.98,61.97,62.99,64.03,64.98,66.0,67.07,67.97,69.04,69.97,71.05,72.0,72.97,74.0,74.96,75.93,77.02,78.02,79.0,80.02,81.0,81.99,82.98,84.03,85.06,85.99,86.98,88.0,88.99,89.99,90.94,91.19,91.2,91.22,91.24,91.32,91.37,91.38,91.38,91.38,91.38,91.38,91.38,91.38,91.38,91.38,91.38,91.38,91.38,91.38,91.38,91.38,91.38,91.38,91.38,91.38,91.38,91.38,91.38,91.38,91.38,91.38,91.38,91.38,91.38,91.38,91.38,91.38,91.38,91.38
openb_pod_list_default,06-FGD,6,snapshot,6212,0.26,1.0,2.04,3.03,3.94,5.0,6.0,7.03,8.01,9.01,10.03,10.99,12.01,13.01,14.0,15.01,15.98,16.99,17.98,19.01,19.97,20.97,22.02,23.01,24.03,25.02,25.96,27.01,28.04,29.09,29.92,30.97,31.99,33.0,34.01,35.04,35.99,36.96,37.99,39.01,39.99,41.04,42.0,42.98,44.02,44.97,46.0,46.99,48.03,48.99,50.02,51.04,52.04,53.1,53.96,55.0,55.92,57.01,57.95,59.01,59.94,60.98,61.97,62.99,64.03,64.98,66.0,67.07,67.97,69.04,69.97,71.05,72.0,72.97,74.0,74.96,75.93,77.02,78.02,79.0,80.02,81.0,81.99,82.98,84.03,85.06,85.99,86.98,88.0,88.99,89.99,90.99,91.98,93.0,93.45,93.71,94.11,94.29,94.29,94.29,94.29,94.29,94.29,94.29,94.29,94.29,94.29,94.29,94.29,94.29,94.29,94.29,94.29,94.29,94.29,94.29,94.29,94.29,94.29,94.29,94.29,94.29,94.29,94.29,94.29,94.29,94.29,94.29,94.29,94.29,94.29
openb_pod_list_default,07-CAFGD,0,snapshot,6212,0.24,0.99,2.02,3.02,3.92,4.99,5.99,7.01,7.99,8.99,10.01,10.97,12.0,12.99,13.99,14.99,15.96,16.97,17.96,18.99,19.96,20.96,22.01,23.0,24.01,25.01,25.95,27.0,28.02,29.07,29.9,30.96,31.98,32.98,33.99,35.03,35.97,36.95,37.98,38.99,39.97,41.02,41.98,42.97,44.0,44.96,45.99,46.98,48.02,48.97,50.0,51.03,52.02,53.08,53.95,54.99,55.9,56.99,57.93,58.99,59.93,60.96,61.96,62.97,64.02,64.96,65.98,67.05,67.95,69.02,69.95,71.04,71.98,72.96,73.99,74.95,75.92,77.0,78.0,78.99,80.0,80.98,81.97,82.96,84.02,85.04,85.98,86.96,87.98,88.97,89.97,90.97,91.96,93.0,93.98,94.48,94.59,94.68,94.69,94.69,94.69,94.69,94.69,94.69,94.69,94.69,94.69,94.69,94.69,94.69,94.69,94.69,94.69,94.69,94.69,94.69,94.69,94.69,94.69,94.69,94.69,94.69,94.69,94.69,94.69,94.69,94.69,94.69,94.69,94.69,94.69
